ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORDENADAS-ETRS89,COORDENADAS-WGS84,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,TOTAL_ELEM,tipo,CANTIDAD_JUEGOS_POR_TIPO,CAPACIDAD_MAX
3576105,Area_infantil,133,Palomeras_bajas,13.0,Puente_de_vallecas,Operativo,"[443674.01, 4470443.31]","[-3.66358302, 40.38267667]",Calle,Candilejas,064,28018.0,"Calle_candilejas, 064",20080124.0,3576105-FECHA_INSTALACION-incorrecta,13166,AE21,7,Infantil,"{'Deportivas': 0, 'Infantiles': 3, 'Mayores': 0}",26
3994618,Area_infantil,194,El_cañaveral,19.0,Vicalvaro,Operativo,"[452254.45, 4472426.55]","[-3.56264958, 40.40107906]",Calle,Concejal_victorino_granizo,075,28052.0,"Calle_concejal_victorino_granizo, 075",31040339.0,2017-10-19T00:00:00Z,19061,AE21,14,Infantil,"{'Deportivas': 0, 'Infantiles': 4, 'Mayores': 0}",19
4745667,Area_infantil,151,Ventas,15.0,Ciudad_lineal,Operativo,"[444772.06, 4475630.04]","[-3.65109766, 40.42947528]",4745667_TIPO-VIA_desconocida,Vereda_del_carmen,006,28017.0,"Vereda_del_carmen, 006",11104890.0,2018-02-21T00:00:00Z,15140,AE21,6,Infantil,"{'Deportivas': 0, 'Infantiles': 3, 'Mayores': 0}",18
4749898,Area_infantil,166,Valdefuentes,16.0,Hortaleza,Operativo,"[448637.592, 4482216.718]","[-3.60606133, 40.48905956]",Calle,Estanislao_perez_pita,059,28055.0,"Calle_estanislao_perez_pita, 059",31039232.0,4749898-FECHA_INSTALACION-incorrecta,16248,AE21,5,Infantil,"{'Deportivas': 0, 'Infantiles': 4, 'Mayores': 0}",21
4749900,Area_infantil,166,Valdefuentes,16.0,Hortaleza,Operativo,"[448659.968, 4481892.193]","[-3.60577103, 40.48613745]",Calle,Fernando_higueras,055,28055.0,"Calle_fernando_higueras, 055",31039443.0,2018-01-01T00:00:00Z,16250,AE21,4,Infantil,"{'Deportivas': 0, 'Infantiles': 3, 'Mayores': 0}",22
4796689,Area_infantil,25,Delicias,2.0,Arganzuela,Operativo,"[442068.3, 4471799.98]","[-3.68262221, 40.39478821]",Calle,Estrella_denebola,001,28045.0,"Calle_estrella_denebola, 001",31038201.0,2019-01-01T00:00:00Z,2089,AE21,11,Infantil,"{'Deportivas': 0, 'Infantiles': 0, 'Mayores': 0}",9
4986142,Area_infantil,53,Ciudad_jardin,5.0,Chamartin,Operativo,"[442564.58, 4477744.04]","[-3.67731167, 40.44836973]",Calle,Vinaroz,034,28002.0,"Calle_vinaroz, 034",11024013.0,2018-11-19T00:00:00Z,5064,AE21,9,Infantil,"{'Deportivas': 0, 'Infantiles': 6, 'Mayores': 0}",14
4988049,Area_infantil,83,Peñagrande,8.0,Fuencarral-el_pardo,Operativo,"[439334.7, 4481651.75]","[-3.71577114, 40.4833424]",Avenida,Cardenal_herrera_oria,205,28034.0,"Avenida_cardenal_herrera_oria, 205",20154510.0,2018-12-10T00:00:00Z,8191,AE21,11,Infantil,"{'Deportivas': 0, 'Infantiles': 8, 'Mayores': 0}",12
4993029,Area_infantil,135,Portazgo,13.0,Puente_de_vallecas,Operativo,"[445033.62, 4470844.77]","[-3.64760092, 40.38638407]",Calle,Tanger,002,28018.0,"Calle_tanger, 002",11098053.0,2019-01-29T00:00:00Z,13168,AE21,5,Infantil,"{'Deportivas': 0, 'Infantiles': 1, 'Mayores': 0}",26
18206,Area_infantil,171,Villaverde_alto-casco_historico_de_villaverde,17.0,Villaverde,Operativo,"[440351.3, 4466225.146]","[-3.70233104, 40.34444585]",Calle,Estaño,006,28021.0,"Calle_estaño, 006",11125538.0,18206-FECHA_INSTALACION-incorrecta,17037,AE21,9,Infantil,"{'Deportivas': 0, 'Infantiles': 3, 'Mayores': 0}",10
